crystal,CO2_henry coefficient [mmol/(g-bar)],Temperature [K],SO2_henry coefficient [mmol/(g-bar)],Temperature [K]
Co-CN6,2.440927,298,11.692121,298
MFM-300-In,5.042017,298,231.232279,298
MFM600,1.449235,298,34.797254,298
MFM601,1.370301,298,97.240663,298
Ni-bdc-ted,2.206897,298,29.68189,298
NOTT-202a,3.74269,293,153.6,293
NOTT-300,9.833756,293,507.772049,293
SIFSIX-1-Cu,2.504447,298,3995.769863,298
SIFSIX-2-Cu-i,17.48872,298,4108.772727,298
SIFSIX-3-Ni,3911.414634,298,1454.92228,298
SIFSIX-3-Zn,188.96349,298,469.90566,298
Zn-bdc-ted,1.842677,298,19.169554,298
Zn-CN6,5.17058,298,4.364834,298
