Pressure(torr),Adsorption(mmol/g)
0.0,0.0
0.75117370892,0.140146049381
3.7558685446,0.270852027764
5.25821596244,0.382879462696
9.01408450704,0.443578155045
41.3145539906,0.943183175287
90.8920187793,1.32620288045
135.962441315,1.57850784207
163.755868545,1.71402589007
205.821596244,1.90563654193
246.384976526,2.07856865033
288.450704225,2.23750719017
329.014084507,2.3871020757
369.577464789,2.53202951666
410.14084507,2.66762206847
451.455399061,2.79388411371
492.769953052,2.93414849267
534.835680751,3.05108003134
575.399061033,3.16800280485
615.211267606,3.27558630664
656.525821596,3.39251346273
697.840375587,3.50010572967
799.248826291,3.73873705085
