Pressure(P/P0),Adsorption(mg/g)
0.0,0.0
0.00400305127685,11.4093959732
0.00804809260205,21.4765100671
0.0100244242115,30.2013422819
0.0130603047078,37.5838926174
0.0140022814593,45.6375838926
0.0175854322526,92.6174496644
0.0177365964266,80.5369127517
0.0180305267652,57.0469798658
0.0199816643456,67.7852348993
0.022656430426,104.026845638
0.0256335248546,116.10738255
0.0286358133122,126.174496644
0.0295274020057,138.255033557
0.0314869375958,148.322147651
0.0344892260534,158.389261745
0.0416541279717,169.127516779
0.047734286974,183.22147651
0.0559503397695,193.288590604
0.0599953810947,203.355704698
0.0682450259289,210.738255034
0.0806320901946,220.805369128
0.089932885906,227.516778523
0.100268036475,234.899328859
0.113756639676,240.268456376
0.137639179514,248.322147651
0.158410256769,255.033557047
0.182309592627,261.744966443
0.201028756185,265.771812081
0.21662805915,269.127516779
0.235364018728,271.812080537
0.255134333163,275.167785235
0.273853496721,279.194630872
0.296760467769,281.879194631
0.3227789014,285.906040268
0.360242422546,291.946308725
0.385243297339,293.959731544
0.413355634715,297.315436242
0.442493928939,302.013422819
0.47270017006,304.697986577
0.502906411181,307.382550336
0.533104254292,310.738255034
0.561216591668,314.093959732
0.593516736533,316.10738255
0.621645869929,318.120805369
0.653929218775,321.476510067
0.682041556151,324.832214765
0.712264593291,326.174496644
0.741428081545,328.859060403
0.78725881966,332.88590604
0.83517506351,336.912751678
0.886219565963,340.939597315
0.934135809813,344.966442953
0.984137559398,348.993288591
