crystal,H2O_henry coefficient [mmol/(g-bar)],Temperature [K],CO2_henry coefficient [mmol/(g-bar)],Temperature [K]
Al-MIL-53,117,298,9.913976,304
MIL-101,968,298,0.733852,303
MIL-101-NH2,4050,298,57.391944,293
MIL-101-NO2,503,298,4.61886,293
MIL-125,27500,298,2.046779,298
MIL-125-NH2,31000,298,3.630764,298
MIL-68,25.3,298,2.643392,298
MIL-68-NH2,117,298,4.484208,298
SIM-1,133,298,9.360778,303
ZIF-8,57,298,0.471066,298
MCM-41,738.72,298,0.478797,298
UiO-66,35200,298,2.64,308
UiO-66-NH2,410000,298,2.99,308
