crystal,CO2_henry coefficient [mmol/(g-bar)],CO2_Temperature [K],SO2_henry coefficient [mmol/(g-bar)],SO2_Temperature [K]
MFM601,1.370301,298,97.240663,298
Zn-bdc-ted,2.158665,298,19.169554,298
Ni-bdc-ted,2.206897,298,40.402008,298
NOTT-202a,1.371089,293,153.600000,293
MFM600,1.418831,298,34.797254,298
NOTT-300,7.965262,293,483.863591,293
MFM-300-In,4.607513,298,171.432416,298
Zn-CN6,5.170580,298,4.364834,298
Mg-MOF-74,198.820320,293,150.412680,298
Co-CN6,2.440927,298,11.692121,298
KAUST7,261.691250,298,26.588414,298
KAUST8,163.183730,298,17.721644,298
