Pressure(kPa),Adsorption(cm3(STP)/g)
0.0,0.0
5.12239850508,10.7407179517
10.2518863722,17.7595876934
15.9554788062,23.3735598897
21.6605426171,28.2150591427
27.7481644571,32.2135931161
33.7417519285,35.580170653
39.8312464302,38.5955572439
46.1121537081,41.1192363821
52.2032533484,43.2919252166
58.009173367,45.1839154413
64.1008080535,47.0757050237
70.0977395636,48.6866622347
75.8093576904,50.0871456489
81.4254700715,51.62814557
86.9468792762,52.8883131197
92.468556004,54.0080310434
97.9902327317,55.127748967
103.416671237,56.2475337714
