crystal,CO2_henry coefficient [mmol/(g-bar)],CO2_err henry coefficient [mmol/(g-bar)],CO2_Qst (kJ/mol),SO2_henry coefficient [mmol/(g-bar)],SO2_err henry coefficient [mmol/(g-bar)],SO2_Qst (kJ/mol)
BEDYEQ_clean_iqeqcharged.cif,4.932660678766561,0.09817700896832034,25.79730309036846,85.44752165042833,6.039887188508933,37.2391626794218
KAMZUV_manual_iqeqcharged.cif,1.45413761962717,0.05037776775799655,20.211146783390767,5.5802649115453,0.26194422527042327,24.706796361636187
LICGOW_iqeqcharged.cif,2.212548155079757,0.010899464056366352,17.73365908182142,36.105861549690395,2.0537111191148623,31.966254572898027
MERLAZ_clean_iqeqcharged.cif,2.414525457055301,0.03420639119174515,19.83169216155687,36.756789765483255,4.1272677925603185,33.751587997443906
NIBBOR_clean.cif,0.954343728290593,0.1278833540810657,30.3476624135749,13.349891291882193,1.2013277759496337,39.77311414048664
REWNEO_clean_iqeqcharged.cif,3.0317420982723244,0.06447172962393481,20.473517431444783,14.871082863120273,0.33941619135215434,26.582723343464487
RUBTAK01_clean_h_iqeqcharged.cif,6.611890762022276,0.22550466658546278,24.73150159673868,313.5100681235729,82.76269357290485,42.72602427078878
VOGTIV_clean_h_iqeqcharged.cif,5.7044806148588325,0.30199753333091567,23.664844633353127,42.00561211338585,3.2046309000644904,31.51621232943499
WIZMAV_iqeqcharged.cif,,,,,,
ORIWET_iqeqcharged.cif,1.368300944874081,0.010810045279321789,18.436580409238744,5.017411140830441,0.09638868313095621,22.919521775534324
OCUNAC_clean5b_iqeqcharged.cif,,,,,,
