cage,C2H6(KH_mmol/kgPa),C2H6(err_KH_mmol/(g-bar)),CH4(KH_mmol/kgPa),CH4(err_KH_mmol/(g-bar)),CO2(KH_mmol/kgPa),CO2(err_KH_mmol/(g-bar)),H2S(KH_mmol/kgPa),H2S(err_KH_mmol/(g-bar))
ANUGIA_clean_iqeqcharged.cif,6.51E-05,0.082122185,9.01E-06,0.004608417,2.68E-05,0.071655515,6.48E-05,0.095338508
BIMDEF_clean_iqeqcharged.cif,0.002555822,38.31983993,5.33E-05,0.108283332,0.000632033,4.405311623,0.001142896,6.223784914
CAXVII_clean_iqeqcharged.cif,4.84E-05,0.083286663,5.84E-06,0.007248071,8.91E-05,0.694691624,7.58E-05,0.564067158
COF-102_iqeqcharged.cif,6.17E-05,0.018572568,1.08E-05,0.001845725,2.16E-05,0.006562785,4.21E-05,0.024401361
COF-103_iqeqcharged.cif,4.68E-05,0.017834732,9.56E-06,0.000785383,1.87E-05,0.003258943,3.48E-05,0.012315935
COF-105_iqeqcharged.cif,1.85E-05,0.006310647,7.04E-06,0.000213307,1.21E-05,0.001878307,1.78E-05,0.002748763
COF-108_iqeqcharged.cif,2.43E-05,0.01613058,7.82E-06,0.002581085,1.44E-05,0.013092675,2.28E-05,0.025846799
FIQCEN_clean_iqeqcharged.cif,0.000765784,6.066400914,1.87E-05,0.015890107,6.24E-05,0.248287577,0.000531858,2.233243225
HOGLEV_clean_iqeqcharged.cif,0.000221831,0.198978139,1.47E-05,0.007131842,9.88E-05,0.250356965,0.000275242,0.470589988
KAMZUV_clean5b_iqeqcharged.cif,5.00E-05,0.128050426,6.04E-06,0.004757946,1.45E-05,0.064880055,3.30E-05,0.123196253
KAXQIL_clean_iqeqcharged.cif,0.126717747,769.8508531,0.000388697,0.628514752,0.001280242,4.543677977,0.02143529,131.5123235
RAVWAO_clean_iqeqcharged.cif,0.000167504,0.145867036,1.36E-05,0.015446315,7.29E-05,0.213324273,0.000168977,1.023697098
REWNEO_clean_iqeqcharged.cif,8.82E-05,0.120908318,9.64E-06,0.006163782,3.06E-05,0.070691182,0.000102815,0.357039937
VEBHUG_clean_iqeqcharged.cif,1.43E-05,0.009254118,4.25E-06,0.001603415,63677.2244,1.84E+09,5.05E+10,2.73E+15
VEJYUF01_clean_iqeqcharged.cif,0.003546349,10.52807343,5.03E-05,0.06117857,0.000239511,0.383761262,0.001174837,2.090737217
WONKOB_iqeqcharged.cif,0.000714731,43.74159522,6.64E-05,0.58904447,0.28773618,11453.07882,0.019574737,1452.911771
